Description,"Calcium, Ca","Carbohydrate, by difference",Cholesterol,"Copper, Cu",Energy,"Fatty acids, total saturated","Fiber, total dietary",Glucose (dextrose),"Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K",Protein,"Sodium, Na",Starch,Sucrose,"Sugars, total including NLEA",Total lipid (fat),"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Water,"Zinc, Zn"
Abiyuch,8.0,17.6,0.0,0.057,359.0,0.013999999999999999,5.3,4.5,1.61,24.0,47.0,304.0,1.5,20.0,0.0,0.05,8.55,0.1,54.1,0.0,0.0,79.9,0.31
Apple,6.0,13.81,0.0,0.027000000000000003,52.0,0.027999999999999997,2.4,0.0,0.12,5.0,11.0,107.0,0.26,1.0,0.0,0.0,10.39,0.17,4.6,0.0,0.18,85.56,0.04
Apricot,13.0,11.12,0.0,0.078,48.0,0.027000000000000003,2.0,0.0,0.39,10.0,23.0,259.0,1.4,1.0,0.0,0.0,9.24,0.39,10.0,0.0,0.89,86.35,0.2
Apricots,13.0,11.12,0.0,0.078,249.0,0.027000000000000003,2.0,2.37,0.39,10.0,23.0,259.0,1.4,1.0,0.0,5.87,9.24,0.39,10.0,0.0,0.89,86.35,0.2
Arrowhead,10.0,20.23,0.0,0.171,513.0,0.0,0.0,0.0,2.57,51.0,174.0,922.0,5.33,22.0,0.0,0.0,0.0,0.29,1.1,0.0,0.0,72.48,0.28
Arrowroot,6.0,13.39,0.0,0.121,336.0,0.039,1.3,0.0,2.22,25.0,98.0,454.0,4.24,26.0,0.0,0.0,0.0,0.2,1.9,0.0,0.0,80.75,0.63
Arugula,160.0,3.65,0.0,0.076,130.0,0.086,1.6,0.0,1.46,47.0,52.0,369.0,2.58,27.0,0.0,0.0,2.05,0.66,15.0,0.0,0.43,91.71,0.47
Asparagus,48.0,7.76,0.0,0.37799999999999995,125.0,0.08,4.2,0.65,4.28,28.0,104.0,404.0,4.4,4.0,0.0,0.23,3.76,0.24,11.2,0.0,2.26,186.44,1.08
Avocado,12.0,8.53,0.0,0.19,160.0,2.126,6.7,0.0,0.55,29.0,52.0,485.0,2.0,7.0,0.0,0.0,0.66,14.66,10.0,0.0,2.07,73.23,0.64
Banana,5.0,22.84,0.0,0.078,89.0,0.11199999999999999,2.6,0.0,0.26,27.0,22.0,358.0,1.09,1.0,0.0,0.0,12.23,0.33,8.7,0.0,0.1,74.91,0.15
Bananas,5.0,22.84,0.0,0.078,460.0,0.11199999999999999,2.6,4.98,0.26,27.0,22.0,358.0,1.09,1.0,5.38,2.39,12.23,0.33,8.7,0.0,0.1,74.91,0.15
Basil,177.0,2.65,0.0,0.385,23.0,0.040999999999999995,1.6,0.0,3.17,64.0,56.0,295.0,3.15,4.0,0.0,0.0,0.3,0.64,18.0,0.0,0.8,92.06,0.81
Beets,32.0,19.12,0.0,0.15,266.0,0.054000000000000006,5.6,0.0,1.6,46.0,80.0,650.0,3.22,156.0,0.0,0.0,13.52,0.34,9.8,0.0,0.08,175.16,0.7
Blackberries,58.0,19.22,0.0,0.33,267.0,0.027999999999999997,10.6,2.31,1.24,40.0,44.0,324.0,2.78,2.0,0.0,0.07,9.76,0.98,42.0,0.0,2.34,176.3,1.06
Blueberries,12.0,28.98,0.0,0.114,354.0,0.055999999999999994,4.8,4.88,0.56,12.0,24.0,154.0,1.48,2.0,0.03,0.11,19.92,0.66,19.4,0.0,1.14,168.42,0.32
Borage,93.0,3.06,0.0,0.13,109.0,0.17,0.0,0.0,3.3,52.0,53.0,470.0,1.8,80.0,0.0,0.0,0.0,0.7,35.0,0.0,0.0,93.0,0.2
Boysenberries,29.0,9.61,0.0,0.165,43.0,0.013999999999999999,5.3,0.0,0.62,20.0,22.0,162.0,1.39,1.0,0.0,0.0,4.88,0.49,21.0,0.0,1.17,88.15,0.53
Breadfruit,17.0,27.12,0.0,0.084,534.0,0.048,4.9,0.0,0.54,25.0,30.0,490.0,1.07,2.0,0.0,0.0,11.0,0.23,29.0,0.0,0.1,70.65,0.12
Broccoflower,33.0,6.09,0.0,0.040999999999999995,31.0,0.047,3.2,0.0,0.73,20.0,62.0,300.0,2.95,23.0,0.0,0.0,3.03,0.3,88.1,0.0,0.04,89.79,0.64
Broccoli,140.0,19.55,0.0,0.15700000000000003,372.0,0.192,7.6,1.0699999999999998,2.15,63.0,199.0,935.0,8.209999999999999,102.0,0.0,0.11,3.4,1.08,269.7,0.0,1.71,268.6,1.24
Cabbage,40.0,5.8,0.0,0.019,128.0,0.034,2.5,1.67,0.47,12.0,26.0,170.0,1.28,18.0,0.0,0.08,3.2,0.1,36.6,0.0,0.15,92.18,0.18
Cactus,164.0,3.33,0.0,0.052000000000000005,16.0,0.016,2.2,0.0,0.59,52.0,16.0,257.0,1.32,21.0,0.0,0.0,1.15,0.09,9.3,0.0,0.0,94.12,0.25
Calamondin,37.0,13.34,0.0,0.042,53.0,0.039,1.8,0.0,0.15,12.0,20.0,166.0,0.81,2.0,0.0,0.0,10.58,0.31,26.7,0.0,0.2,85.17,0.07
Cantaloupe,9.0,8.16,0.0,0.040999999999999995,34.0,0.051,0.9,0.0,0.21,12.0,15.0,267.0,0.84,16.0,0.0,0.0,7.86,0.19,36.7,0.0,0.05,90.15,0.18
Cardoon,70.0,4.07,0.0,0.231,88.0,0.011000000000000001,1.6,0.0,0.7,42.0,23.0,400.0,0.7,170.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,94.0,0.17
Carrots,66.0,19.16,0.0,0.09,255.0,0.069,5.6,0.59,0.6,24.0,70.0,640.0,1.86,138.0,1.43,3.59,9.48,0.48,11.8,0.0,1.32,176.58,0.48
Cassava,16.0,38.06,0.0,0.1,827.0,0.07400000000000001,1.8,0.0,0.27,21.0,27.0,271.0,1.36,14.0,0.0,0.0,1.7,0.28,20.6,0.0,0.19,59.68,0.34
Cauliflower,44.0,9.94,0.0,0.078,154.0,0.26,4.0,0.94,0.84,30.0,88.0,598.0,3.84,60.0,0.0,0.0,3.82,0.56,96.4,0.0,0.16,184.14,0.54
Celeriac,43.0,9.2,0.0,0.07,218.0,0.079,1.8,0.0,0.7,20.0,115.0,300.0,1.5,100.0,0.0,0.0,1.6,0.3,8.0,0.0,0.36,88.0,0.33
Celery,80.0,5.94,0.0,0.07,87.0,0.084,3.2,0.4,0.4,22.0,48.0,520.0,1.38,160.0,0.0,0.08,2.68,0.34,6.2,0.0,0.54,190.86,0.26
Celtuce,39.0,3.65,0.0,0.04,93.0,0.0,1.7,0.0,0.55,28.0,39.0,330.0,0.85,11.0,0.0,0.0,0.0,0.3,19.5,0.0,0.0,94.5,0.27
Chard,51.0,3.74,0.0,0.179,19.0,0.03,1.6,0.0,1.8,81.0,46.0,379.0,1.8,213.0,0.0,0.0,1.1,0.2,30.0,0.0,1.89,92.66,0.36
Cherimoya,10.0,17.71,0.0,0.069,388.0,0.233,3.0,5.93,0.27,17.0,26.0,287.0,1.57,7.0,0.0,0.66,12.87,0.68,12.6,0.0,0.27,79.39,0.16
Chives,184.0,8.7,0.0,0.314,186.0,0.292,5.0,0.0,3.2,84.0,116.0,592.0,6.54,6.0,0.0,0.0,3.7,1.46,116.2,0.0,0.42,181.3,1.12
Cilantro,67.0,3.67,0.0,0.225,23.0,0.013999999999999999,2.8,0.0,1.77,26.0,48.0,521.0,2.13,46.0,0.0,0.0,0.87,0.52,27.0,0.0,2.5,92.21,0.5
Clams,39.0,3.57,30.0,0.053,86.0,0.187,0.0,0.0,1.62,19.0,198.0,46.0,14.67,56.0,0.0,0.0,0.0,0.96,0.0,0.0,0.68,78.98,0.51
Clementines,30.0,12.02,0.0,0.043,245.0,0.0,1.7,1.59,0.14,10.0,21.0,177.0,0.85,1.0,0.0,5.96,9.18,0.15,48.8,0.0,0.2,86.58,0.06
Collards,232.0,5.42,0.0,0.046,32.0,0.055,4.0,0.0,0.47,27.0,25.0,213.0,3.02,17.0,0.0,0.0,0.46,0.61,35.3,0.0,2.26,89.62,0.21
Grapefruit,12.0,8.08,0.0,0.047,32.0,0.013999999999999999,1.1,0.0,0.09,8.0,8.0,139.0,0.63,0.0,0.0,0.0,6.98,0.1,34.4,0.0,0.13,90.89,0.07
Strawberry,16.0,7.68,0.0,0.048,32.0,0.015,2.0,0.0,0.41,13.0,24.0,153.0,0.67,1.0,0.0,0.0,4.89,0.3,58.8,0.0,0.29,90.95,0.14
