Description,Nutrient Name,Published Date,Unit Name,Value
Grapefruit,Protein,4/1/2020,G,0.63
Grapefruit,Total lipid (fat),4/1/2020,G,0.1
Grapefruit,"Carbohydrate, by difference",4/1/2020,G,8.08
Grapefruit,Energy,4/1/2020,KCAL,32
Grapefruit,"Alcohol, ethyl",4/1/2020,G,0
Grapefruit,Water,4/1/2020,G,90.89
Grapefruit,Caffeine,4/1/2020,MG,0
Grapefruit,Theobromine,4/1/2020,MG,0
Grapefruit,"Sugars, total including NLEA",4/1/2020,G,6.98
Grapefruit,"Fiber, total dietary",4/1/2020,G,1.1
Grapefruit,"Calcium, Ca",4/1/2020,MG,12
Grapefruit,"Iron, Fe",4/1/2020,MG,0.09
Grapefruit,"Magnesium, Mg",4/1/2020,MG,8
Grapefruit,"Phosphorus, P",4/1/2020,MG,8
Grapefruit,"Potassium, K",4/1/2020,MG,139
Grapefruit,"Sodium, Na",4/1/2020,MG,0
Grapefruit,"Zinc, Zn",4/1/2020,MG,0.07
Grapefruit,"Copper, Cu",4/1/2020,MG,0.047
Grapefruit,"Selenium, Se",4/1/2020,UG,0.3
Grapefruit,Retinol,4/1/2020,UG,0
Grapefruit,"Vitamin A, RAE",4/1/2020,UG,46
Grapefruit,"Carotene, beta",4/1/2020,UG,552
Grapefruit,"Carotene, alpha",4/1/2020,UG,4
Grapefruit,Vitamin E (alpha-tocopherol),4/1/2020,MG,0.13
Grapefruit,Vitamin D (D2 + D3),4/1/2020,UG,0
Grapefruit,"Cryptoxanthin, beta",4/1/2020,UG,6
Grapefruit,Lycopene,4/1/2020,UG,1135
Grapefruit,Lutein + zeaxanthin,4/1/2020,UG,6
Grapefruit,"Vitamin C, total ascorbic acid",4/1/2020,MG,34.4
Grapefruit,Thiamin,4/1/2020,MG,0.036
Grapefruit,Riboflavin,4/1/2020,MG,0.02
Grapefruit,Niacin,4/1/2020,MG,0.25
Grapefruit,Vitamin B-6,4/1/2020,MG,0.042
Grapefruit,"Folate, total",4/1/2020,UG,10
Grapefruit,Vitamin B-12,4/1/2020,UG,0
Grapefruit,"Choline, total",4/1/2020,MG,7.7
Grapefruit,Vitamin K (phylloquinone),4/1/2020,UG,0
Grapefruit,Folic acid,4/1/2020,UG,0
Grapefruit,"Folate, food",4/1/2020,UG,10
Grapefruit,"Folate, DFE",4/1/2020,UG,10
Grapefruit,"Vitamin E, added",4/1/2020,MG,0
Grapefruit,"Vitamin B-12, added",4/1/2020,UG,0
Grapefruit,Cholesterol,4/1/2020,MG,0
Grapefruit,"Fatty acids, total saturated",4/1/2020,G,0.014
Grapefruit,"Fatty acids, total monounsaturated",4/1/2020,G,0.013
Grapefruit,"Fatty acids, total polyunsaturated",4/1/2020,G,0.024
Strawberry,Protein,4/1/2020,G,0.67
Strawberry,Total lipid (fat),4/1/2020,G,0.3
Strawberry,"Carbohydrate, by difference",4/1/2020,G,7.68
Strawberry,Energy,4/1/2020,KCAL,32
Strawberry,"Alcohol, ethyl",4/1/2020,G,0
Strawberry,Water,4/1/2020,G,90.95
Strawberry,Caffeine,4/1/2020,MG,0
Strawberry,Theobromine,4/1/2020,MG,0
Strawberry,"Sugars, total including NLEA",4/1/2020,G,4.89
Strawberry,"Fiber, total dietary",4/1/2020,G,2
Strawberry,"Calcium, Ca",4/1/2020,MG,16
Strawberry,"Iron, Fe",4/1/2020,MG,0.41
Strawberry,"Magnesium, Mg",4/1/2020,MG,13
Strawberry,"Phosphorus, P",4/1/2020,MG,24
Strawberry,"Potassium, K",4/1/2020,MG,153
Strawberry,"Sodium, Na",4/1/2020,MG,1
Strawberry,"Zinc, Zn",4/1/2020,MG,0.14
Strawberry,"Copper, Cu",4/1/2020,MG,0.048
Strawberry,"Selenium, Se",4/1/2020,UG,0.4
Strawberry,Retinol,4/1/2020,UG,0
Strawberry,"Vitamin A, RAE",4/1/2020,UG,1
Strawberry,"Carotene, beta",4/1/2020,UG,7
Strawberry,"Carotene, alpha",4/1/2020,UG,0
Strawberry,Vitamin E (alpha-tocopherol),4/1/2020,MG,0.29
Strawberry,Vitamin D (D2 + D3),4/1/2020,UG,0
Strawberry,"Cryptoxanthin, beta",4/1/2020,UG,0
Strawberry,Lycopene,4/1/2020,UG,0
Strawberry,Lutein + zeaxanthin,4/1/2020,UG,26
Strawberry,"Vitamin C, total ascorbic acid",4/1/2020,MG,58.8
Strawberry,Thiamin,4/1/2020,MG,0.024
Strawberry,Riboflavin,4/1/2020,MG,0.022
Strawberry,Niacin,4/1/2020,MG,0.386
Strawberry,Vitamin B-6,4/1/2020,MG,0.047
Strawberry,"Folate, total",4/1/2020,UG,24
Strawberry,Vitamin B-12,4/1/2020,UG,0
Strawberry,"Choline, total",4/1/2020,MG,5.7
Strawberry,Vitamin K (phylloquinone),4/1/2020,UG,2.2
Strawberry,Folic acid,4/1/2020,UG,0
Strawberry,"Folate, food",4/1/2020,UG,24
Strawberry,"Folate, DFE",4/1/2020,UG,24
Strawberry,"Vitamin E, added",4/1/2020,MG,0
Strawberry,"Vitamin B-12, added",4/1/2020,UG,0
Strawberry,Cholesterol,4/1/2020,MG,0
Strawberry,"Fatty acids, total saturated",4/1/2020,G,0.015
Strawberry,"Fatty acids, total monounsaturated",4/1/2020,G,0.043
Strawberry,"Fatty acids, total polyunsaturated",4/1/2020,G,0.155
Abiyuch,"Vitamin A, IU",4/1/2019,IU,100
Abiyuch,Energy,4/1/2019,kJ,290
Abiyuch,"Carbohydrate, by difference",4/1/2019,G,17.6
Abiyuch,Energy,4/1/2019,KCAL,69
Abiyuch,Retinol,4/1/2019,UG,0
Abiyuch,"Vitamin A, RAE",4/1/2019,UG,5
Abiyuch,"Fatty acids, total trans",4/1/2019,G,0
Abiyuch,"Calcium, Ca",4/1/2019,MG,8
Abiyuch,"Potassium, K",4/1/2019,MG,304
Abiyuch,"Zinc, Zn",4/1/2019,MG,0.31
Abiyuch,Sucrose,4/1/2019,G,0.05
Abiyuch,Glucose (dextrose),4/1/2019,G,4.5
Abiyuch,Maltose,4/1/2019,G,0.2
Abiyuch,Water,4/1/2019,G,79.9
Abiyuch,Total lipid (fat),4/1/2019,G,0.1
Abiyuch,Protein,4/1/2019,G,1.5
Abiyuch,Ash,4/1/2019,G,0.9
Abiyuch,Fructose,4/1/2019,G,3.8
Abiyuch,"Fatty acids, total saturated",4/1/2019,G,0.014
Abiyuch,"Carotene, beta",4/1/2019,UG,60
Abiyuch,"Carotene, alpha",4/1/2019,UG,0
Abiyuch,"Vitamin C, total ascorbic acid",4/1/2019,MG,54.1
Abiyuch,"Fiber, total dietary",4/1/2019,G,5.3
Abiyuch,"Iron, Fe",4/1/2019,MG,1.61
Abiyuch,"Magnesium, Mg",4/1/2019,MG,24
Abiyuch,"Phosphorus, P",4/1/2019,MG,47
Abiyuch,"Sodium, Na",4/1/2019,MG,20
Abiyuch,"Copper, Cu",4/1/2019,MG,0.057
Abiyuch,"Manganese, Mn",4/1/2019,MG,0.182
Abiyuch,"Sugars, total including NLEA",4/1/2019,G,8.55
Abiyuch,Lactose,4/1/2019,G,0
Abiyuch,Galactose,4/1/2019,G,0
Apple,Protein,4/1/2020,G,0.26
Apple,Total lipid (fat),4/1/2020,G,0.17
Apple,"Carbohydrate, by difference",4/1/2020,G,13.81
Apple,Energy,4/1/2020,KCAL,52
Apple,"Alcohol, ethyl",4/1/2020,G,0
Apple,Water,4/1/2020,G,85.56
Apple,Caffeine,4/1/2020,MG,0
Apple,Theobromine,4/1/2020,MG,0
Apple,"Sugars, total including NLEA",4/1/2020,G,10.39
Apple,"Fiber, total dietary",4/1/2020,G,2.4
Apple,"Calcium, Ca",4/1/2020,MG,6
Apple,"Iron, Fe",4/1/2020,MG,0.12
Apple,"Magnesium, Mg",4/1/2020,MG,5
Apple,"Phosphorus, P",4/1/2020,MG,11
Apple,"Potassium, K",4/1/2020,MG,107
Apple,"Sodium, Na",4/1/2020,MG,1
Apple,"Zinc, Zn",4/1/2020,MG,0.04
