Additional Descriptions,All Highlight Fields,Common Names,Data Type,Derivation Code,Derivation Description,Description,Document Index (generated),Fdc Id,Food Code,foodNutrients Index (generated),foods Index (generated),Ndb Number,Nutrient Id,Nutrient Name,Nutrient Number,Published Date,Scientific Name,Unit Name,Number of Records per result.json,Score,Value
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,1,1,,1003,Protein,203,4/1/2020,,G,1,325.8743,0.63
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,2,1,,1004,Total lipid (fat),204,4/1/2020,,G,1,325.8743,0.1
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,3,1,,1005,"Carbohydrate, by difference",205,4/1/2020,,G,1,325.8743,8.08
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,4,1,,1008,Energy,208,4/1/2020,,KCAL,1,325.8743,32
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,5,1,,1018,"Alcohol, ethyl",221,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,6,1,,1051,Water,255,4/1/2020,,G,1,325.8743,90.89
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,7,1,,1057,Caffeine,262,4/1/2020,,MG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,8,1,,1058,Theobromine,263,4/1/2020,,MG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,9,1,,2000,"Sugars, total including NLEA",269,4/1/2020,,G,1,325.8743,6.98
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,10,1,,1079,"Fiber, total dietary",291,4/1/2020,,G,1,325.8743,1.1
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,11,1,,1087,"Calcium, Ca",301,4/1/2020,,MG,1,325.8743,12
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,12,1,,1089,"Iron, Fe",303,4/1/2020,,MG,1,325.8743,0.09
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,13,1,,1090,"Magnesium, Mg",304,4/1/2020,,MG,1,325.8743,8
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,14,1,,1091,"Phosphorus, P",305,4/1/2020,,MG,1,325.8743,8
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,15,1,,1092,"Potassium, K",306,4/1/2020,,MG,1,325.8743,139
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,16,1,,1093,"Sodium, Na",307,4/1/2020,,MG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,17,1,,1095,"Zinc, Zn",309,4/1/2020,,MG,1,325.8743,0.07
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,18,1,,1098,"Copper, Cu",312,4/1/2020,,MG,1,325.8743,0.047
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,19,1,,1103,"Selenium, Se",317,4/1/2020,,UG,1,325.8743,0.3
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,20,1,,1105,Retinol,319,4/1/2020,,UG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,21,1,,1106,"Vitamin A, RAE",320,4/1/2020,,UG,1,325.8743,46
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,22,1,,1107,"Carotene, beta",321,4/1/2020,,UG,1,325.8743,552
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,23,1,,1108,"Carotene, alpha",322,4/1/2020,,UG,1,325.8743,4
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,24,1,,1109,Vitamin E (alpha-tocopherol),323,4/1/2020,,MG,1,325.8743,0.13
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,25,1,,1114,Vitamin D (D2 + D3),328,4/1/2020,,UG,1,325.8743,0
