Food_description,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Vitamin B-6 (mg),Vitamin A (ug),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Abiyuch,359.0,79.9,8.55,54.1,8.0,17.6,0.0,5.0,1.5,20.0,0.0,0.057,1.61,24.0,47.0,304.0,0.31,0.1,0.013999999999999999,5.3
Apple,52.0,85.56,10.39,4.6,6.0,13.81,0.040999999999999995,3.0,0.26,1.0,0.18,0.027000000000000003,0.12,5.0,11.0,107.0,0.04,0.17,0.027999999999999997,2.4
Apricot,48.0,86.35,9.24,10.0,13.0,11.12,0.054000000000000006,96.0,1.4,1.0,0.89,0.078,0.39,10.0,23.0,259.0,0.2,0.39,0.027000000000000003,2.0
Apricots,249.0,86.35,9.24,10.0,13.0,11.12,0.054000000000000006,96.0,1.4,1.0,0.89,0.078,0.39,10.0,23.0,259.0,0.2,0.39,0.027000000000000003,2.0
Arrowhead,513.0,72.48,0.0,1.1,10.0,20.23,0.26,0.0,5.33,22.0,0.0,0.171,2.57,51.0,174.0,922.0,0.28,0.29,0.0,0.0
Arrowroot,336.0,80.75,0.0,1.9,6.0,13.39,0.266,1.0,4.24,26.0,0.0,0.121,2.22,25.0,98.0,454.0,0.63,0.2,0.039,1.3
Arugula,130.0,91.71,2.05,15.0,160.0,3.65,0.073,119.0,2.58,27.0,0.43,0.076,1.46,47.0,52.0,369.0,0.47,0.66,0.086,1.6
Asparagus,125.0,186.44,3.76,11.2,48.0,7.76,0.182,76.0,4.4,4.0,2.26,0.37799999999999995,4.28,28.0,104.0,404.0,1.08,0.24,0.08,4.2
Avocado,160.0,73.23,0.66,10.0,12.0,8.53,0.257,7.0,2.0,7.0,2.07,0.19,0.55,29.0,52.0,485.0,0.64,14.66,2.126,6.7
Banana,89.0,74.91,12.23,8.7,5.0,22.84,0.36700000000000005,3.0,1.09,1.0,0.1,0.078,0.26,27.0,22.0,358.0,0.15,0.33,0.11199999999999999,2.6
Bananas,460.0,74.91,12.23,8.7,5.0,22.84,0.36700000000000005,3.0,1.09,1.0,0.1,0.078,0.26,27.0,22.0,358.0,0.15,0.33,0.11199999999999999,2.6
Basil,23.0,92.06,0.3,18.0,177.0,2.65,0.155,264.0,3.15,4.0,0.8,0.385,3.17,64.0,56.0,295.0,0.81,0.64,0.040999999999999995,1.6
Beets,266.0,175.16,13.52,9.8,32.0,19.12,0.134,4.0,3.22,156.0,0.08,0.15,1.6,46.0,80.0,650.0,0.7,0.34,0.054000000000000006,5.6
Blackberries,267.0,176.3,9.76,42.0,58.0,19.22,0.06,22.0,2.78,2.0,2.34,0.33,1.24,40.0,44.0,324.0,1.06,0.98,0.027999999999999997,10.6
Blueberries,354.0,168.42,19.92,19.4,12.0,28.98,0.10400000000000001,6.0,1.48,2.0,1.14,0.114,0.56,12.0,24.0,154.0,0.32,0.66,0.055999999999999994,4.8
Borage,109.0,93.0,0.0,35.0,93.0,3.06,0.084,210.0,1.8,80.0,0.0,0.13,3.3,52.0,53.0,470.0,0.2,0.7,0.17,0.0
Boysenberries,43.0,88.15,4.88,21.0,29.0,9.61,0.03,11.0,1.39,1.0,1.17,0.165,0.62,20.0,22.0,162.0,0.53,0.49,0.013999999999999999,5.3
