Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Greens with ham or pork,Other dark green vegetables,44,86.78,0.84,40.5,205,4.68,4.91,370,1.46,0.086,1.1,30,73,303,0.5,1.41,0.27699999999999997,3.6
"Nuts, NFS",Nuts and seeds,605,2.11,4.53,0.4,94,21.04,19.59,313,7.43,0.96,2.78,197,389,603,3.22,53.62,7.598,7.6
"Almonds, NFS",Nuts and seeds,598,2.41,4.86,0.0,268,21.01,20.96,3,23.9,1.099,3.73,279,471,713,3.31,52.54,4.092,10.9
"Almonds, unroasted",Nuts and seeds,579,4.41,4.35,0.0,269,21.55,21.15,1,25.63,1.031,3.71,270,481,733,3.12,49.93,3.802,12.5
"Almonds, salted",Nuts and seeds,601,2.32,4.67,0.0,258,20.18,20.13,386,23.3,1.055,3.59,268,452,685,3.18,53.43,4.336,10.5
"Almonds, lightly salted",Nuts and seeds,604,2.33,4.69,0.0,259,20.28,20.23,195,23.42,1.061,3.6,269,455,688,3.2,53.7,4.3580000000000005,10.5
"Almonds, unsalted",Nuts and seeds,607,2.34,4.71,0.0,260,20.38,20.33,3,23.54,1.0659999999999998,3.62,271,457,692,3.21,53.96,4.38,10.6
"Almonds, flavored",Nuts and seeds,599,2.31,4.65,0.0,257,20.12,20.07,500,23.23,1.052,3.58,267,451,683,3.17,53.27,4.323,10.4
"Almonds, honey roasted",Nuts and seeds,574,1.63,25.01,0.0,181,35.84,14.11,385,17.25,0.741,2.54,188,317,481,2.23,45.34,4.109,7.3
Brazil nuts,Nuts and seeds,659,3.42,2.33,0.7,160,11.74,14.32,3,5.65,1.743,2.43,376,725,659,4.06,67.1,16.134,7.5
"Cashews, NFS",Nuts and seeds,574,1.7,5.01,0.0,45,32.69,15.31,16,0.92,2.22,6.0,260,490,565,5.6,46.35,9.157,3.0
"Cashews, unroasted",Nuts and seeds,574,1.7,5.01,0.0,45,32.69,15.31,16,0.92,2.22,6.0,260,490,565,5.6,46.35,9.157,3.0
"Cashews, salted",Nuts and seeds,578,1.64,4.81,0.0,44,31.4,14.7,399,1.23,2.1319999999999997,5.77,250,471,543,5.38,47.48,9.201,2.9
"Cashews, lightly salted",Nuts and seeds,580,1.64,4.84,0.0,44,31.55,14.78,208,1.24,2.1430000000000002,5.8,251,473,545,5.4,47.72,9.246,2.9
"Cashews, unsalted",Nuts and seeds,583,1.65,4.86,0.0,44,31.71,14.85,16,1.24,2.153,5.82,252,475,548,5.43,47.96,9.293,2.9
