Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Cholesterol (mg),Protein (g),Sodium (mg),Vitamin D (ug),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Abiyuch,Vegetables,359,79.9,8.55,54.1,8,17.6,0,1.5,20,0,0.0,0.057,1.61,24,47,304,0.31,0.1,0.013999999999999999,5.3
Apple,Fruits,52,85.56,10.39,4.6,6,13.81,0,0.26,1,0,0.18,0.027000000000000003,0.12,5,11,107,0.04,0.17,0.027999999999999997,2.4
Apricot,Fruits,48,86.35,9.24,10.0,13,11.12,0,1.4,1,0,0.89,0.078,0.39,10,23,259,0.2,0.39,0.027000000000000003,2.0
Arrowroot,Root Vegetables,336,80.75,0.0,1.9,6,13.39,0,4.24,26,0,0.0,0.121,2.22,25,98,454,0.63,0.2,0.039,1.3
Arugula,Vegetables,130,91.71,2.05,15.0,160,3.65,0,2.58,27,0,0.43,0.076,1.46,47,52,369,0.47,0.66,0.086,1.6
Asparagus,Vegetables,125,186.44,3.76,11.2,48,7.76,0,4.4,4,0,2.26,0.37799999999999995,4.28,28,104,404,1.08,0.24,0.08,4.2
Avocado,Fruits,160,73.23,0.66,10.0,12,8.53,0,2.0,7,0,2.07,0.19,0.55,29,52,485,0.64,14.66,2.126,6.7
Banana,Fruits,89,74.91,12.23,8.7,5,22.84,0,1.09,1,0,0.1,0.078,0.26,27,22,358,0.15,0.33,0.11199999999999999,2.6
Basil,Herb,23,92.06,0.3,18.0,177,2.65,0,3.15,4,0,0.8,0.385,3.17,64,56,295,0.81,0.64,0.040999999999999995,1.6
Beets,Root Vegetables,266,175.16,13.52,9.8,32,19.12,0,3.22,156,0,0.08,0.15,1.6,46,80,650,0.7,0.34,0.054000000000000006,5.6
Blackberries,Berries,267,176.3,9.76,42.0,58,19.22,0,2.78,2,0,2.34,0.33,1.24,40,44,324,1.06,0.98,0.027999999999999997,10.6
Blueberries,Berries,354,168.42,19.92,19.4,12,28.98,0,1.48,2,0,1.14,0.114,0.56,12,24,154,0.32,0.66,0.055999999999999994,4.8
Borage,Herb,109,93.0,0.0,35.0,93,3.06,0,1.8,80,0,0.0,0.13,3.3,52,53,470,0.2,0.7,0.17,0.0
Boysenberries,Berries,43,88.15,4.88,21.0,29,9.61,0,1.39,1,0,1.17,0.165,0.62,20,22,162,0.53,0.49,0.013999999999999999,5.3
Breadfruit,Fruits,534,70.65,11.0,29.0,17,27.12,0,1.07,2,0,0.1,0.084,0.54,25,30,490,0.12,0.23,0.048,4.9
Broccoflower,Vegetables,31,89.79,3.03,88.1,33,6.09,0,2.95,23,0,0.04,0.040999999999999995,0.73,20,62,300,0.64,0.3,0.047,3.2
Broccoli,Vegetables,372,268.6,3.4,269.7,140,19.55,0,8.21,102,0,1.71,0.157,2.15,63,199,935,1.24,1.08,0.192,7.6
Cabbage,Vegetables,128,92.18,3.2,36.6,40,5.8,0,1.28,18,0,0.15,0.019,0.47,12,26,170,0.18,0.1,0.034,2.5
Cactus,Vegetables,16,94.12,1.15,9.3,164,3.33,0,1.32,21,0,0.0,0.052000000000000005,0.59,52,16,257,0.25,0.09,0.016,2.2
