,fruit_name,ID,Name,Number,Unit,Value
0,"Apple, raw",1003,Protein,203,G,0.26
1,"Apple, raw",1004,Total lipid (fat),204,G,0.17
2,"Apple, raw",1005,"Carbohydrate, by difference",205,G,13.81
3,"Apple, raw",1008,Energy,208,KCAL,52.0
4,"Apple, raw",1018,"Alcohol, ethyl",221,G,0.0
5,"Apple, raw",1051,Water,255,G,85.56
6,"Apple, raw",1057,Caffeine,262,MG,0.0
7,"Apple, raw",1058,Theobromine,263,MG,0.0
8,"Apple, raw",2000,"Sugars, total including NLEA",269,G,10.39
9,"Apple, raw",1079,"Fiber, total dietary",291,G,2.4
10,"Apple, raw",1087,"Calcium, Ca",301,MG,6.0
11,"Apple, raw",1089,"Iron, Fe",303,MG,0.12
12,"Apple, raw",1090,"Magnesium, Mg",304,MG,5.0
13,"Apple, raw",1091,"Phosphorus, P",305,MG,11.0
14,"Apple, raw",1092,"Potassium, K",306,MG,107.0
15,"Apple, raw",1093,"Sodium, Na",307,MG,1.0
16,"Apple, raw",1095,"Zinc, Zn",309,MG,0.04
17,"Apple, raw",1098,"Copper, Cu",312,MG,0.027
18,"Apple, raw",1103,"Selenium, Se",317,UG,0.0
19,"Apple, raw",1105,Retinol,319,UG,0.0
20,"Apple, raw",1106,"Vitamin A, RAE",320,UG,3.0
21,"Apple, raw",1107,"Carotene, beta",321,UG,27.0
22,"Apple, raw",1108,"Carotene, alpha",322,UG,0.0
23,"Apple, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.18
24,"Apple, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
25,"Apple, raw",1120,"Cryptoxanthin, beta",334,UG,11.0
26,"Apple, raw",1122,Lycopene,337,UG,0.0
27,"Apple, raw",1123,Lutein + zeaxanthin,338,UG,29.0
28,"Apple, raw",1162,"Vitamin C, total ascorbic acid",401,MG,4.6
29,"Apple, raw",1165,Thiamin,404,MG,0.017
30,"Apple, raw",1166,Riboflavin,405,MG,0.026
31,"Apple, raw",1167,Niacin,406,MG,0.091
32,"Apple, raw",1175,Vitamin B-6,415,MG,0.041
33,"Apple, raw",1177,"Folate, total",417,UG,3.0
34,"Apple, raw",1178,Vitamin B-12,418,UG,0.0
35,"Apple, raw",1180,"Choline, total",421,MG,3.4
36,"Apple, raw",1185,Vitamin K (phylloquinone),430,UG,2.2
37,"Apple, raw",1186,Folic acid,431,UG,0.0
38,"Apple, raw",1187,"Folate, food",432,UG,3.0
39,"Apple, raw",1190,"Folate, DFE",435,UG,3.0
40,"Apple, raw",1242,"Vitamin E, added",573,MG,0.0
41,"Apple, raw",1246,"Vitamin B-12, added",578,UG,0.0
42,"Apple, raw",1253,Cholesterol,601,MG,0.0
43,"Apple, raw",1258,"Fatty acids, total saturated",606,G,0.028
44,"Apple, raw",1259,4:0,607,G,0.0
45,"Apple, raw",1260,6:0,608,G,0.0
46,"Apple, raw",1261,8:0,609,G,0.0
47,"Apple, raw",1262,10:0,610,G,0.0
48,"Apple, raw",1263,12:0,611,G,0.0
49,"Apple, raw",1264,14:0,612,G,0.001
50,"Apple, raw",1265,16:0,613,G,0.024
51,"Apple, raw",1266,18:0,614,G,0.003
52,"Apple, raw",1268,18:1,617,G,0.007
53,"Apple, raw",1269,18:2,618,G,0.043
54,"Apple, raw",1270,18:3,619,G,0.009
55,"Apple, raw",1271,20:4,620,G,0.0
56,"Apple, raw",1272,22:6 n-3 (DHA),621,G,0.0
57,"Apple, raw",1275,16:1,626,G,0.0
58,"Apple, raw",1276,18:4,627,G,0.0
59,"Apple, raw",1277,20:1,628,G,0.0
60,"Apple, raw",1278,20:5 n-3 (EPA),629,G,0.0
61,"Apple, raw",1279,22:1,630,G,0.0
62,"Apple, raw",1280,22:5 n-3 (DPA),631,G,0.0
63,"Apple, raw",1292,"Fatty acids, total monounsaturated",645,G,0.007
64,"Apple, raw",1293,"Fatty acids, total polyunsaturated",646,G,0.051
65,"Banana, raw",1003,Protein,203,G,1.09
66,"Banana, raw",1004,Total lipid (fat),204,G,0.33
67,"Banana, raw",1005,"Carbohydrate, by difference",205,G,22.84
68,"Banana, raw",1008,Energy,208,KCAL,89.0
69,"Banana, raw",1018,"Alcohol, ethyl",221,G,0.0
70,"Banana, raw",1051,Water,255,G,74.91
71,"Banana, raw",1057,Caffeine,262,MG,0.0
72,"Banana, raw",1058,Theobromine,263,MG,0.0
73,"Banana, raw",2000,"Sugars, total including NLEA",269,G,12.23
74,"Banana, raw",1079,"Fiber, total dietary",291,G,2.6
75,"Banana, raw",1087,"Calcium, Ca",301,MG,5.0
76,"Banana, raw",1089,"Iron, Fe",303,MG,0.26
77,"Banana, raw",1090,"Magnesium, Mg",304,MG,27.0
78,"Banana, raw",1091,"Phosphorus, P",305,MG,22.0
79,"Banana, raw",1092,"Potassium, K",306,MG,358.0
80,"Banana, raw",1093,"Sodium, Na",307,MG,1.0
81,"Banana, raw",1095,"Zinc, Zn",309,MG,0.15
82,"Banana, raw",1098,"Copper, Cu",312,MG,0.078
83,"Banana, raw",1103,"Selenium, Se",317,UG,1.0
84,"Banana, raw",1105,Retinol,319,UG,0.0
85,"Banana, raw",1106,"Vitamin A, RAE",320,UG,3.0
86,"Banana, raw",1107,"Carotene, beta",321,UG,26.0
87,"Banana, raw",1108,"Carotene, alpha",322,UG,25.0
88,"Banana, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.1
89,"Banana, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
90,"Banana, raw",1120,"Cryptoxanthin, beta",334,UG,0.0
91,"Banana, raw",1122,Lycopene,337,UG,0.0
92,"Banana, raw",1123,Lutein + zeaxanthin,338,UG,22.0
93,"Banana, raw",1162,"Vitamin C, total ascorbic acid",401,MG,8.7
94,"Banana, raw",1165,Thiamin,404,MG,0.031
95,"Banana, raw",1166,Riboflavin,405,MG,0.073
96,"Banana, raw",1167,Niacin,406,MG,0.665
97,"Banana, raw",1175,Vitamin B-6,415,MG,0.367
98,"Banana, raw",1177,"Folate, total",417,UG,20.0
99,"Banana, raw",1178,Vitamin B-12,418,UG,0.0
100,"Banana, raw",1180,"Choline, total",421,MG,9.8
101,"Banana, raw",1185,Vitamin K (phylloquinone),430,UG,0.5
102,"Banana, raw",1186,Folic acid,431,UG,0.0
103,"Banana, raw",1187,"Folate, food",432,UG,20.0
104,"Banana, raw",1190,"Folate, DFE",435,UG,20.0
105,"Banana, raw",1242,"Vitamin E, added",573,MG,0.0
106,"Banana, raw",1246,"Vitamin B-12, added",578,UG,0.0
107,"Banana, raw",1253,Cholesterol,601,MG,0.0
108,"Banana, raw",1258,"Fatty acids, total saturated",606,G,0.112
109,"Banana, raw",1259,4:0,607,G,0.0
110,"Banana, raw",1260,6:0,608,G,0.0
111,"Banana, raw",1261,8:0,609,G,0.0
112,"Banana, raw",1262,10:0,610,G,0.001
113,"Banana, raw",1263,12:0,611,G,0.002
114,"Banana, raw",1264,14:0,612,G,0.002
115,"Banana, raw",1265,16:0,613,G,0.102
116,"Banana, raw",1266,18:0,614,G,0.005
117,"Banana, raw",1268,18:1,617,G,0.022
118,"Banana, raw",1269,18:2,618,G,0.046
119,"Banana, raw",1270,18:3,619,G,0.027
120,"Banana, raw",1271,20:4,620,G,0.0
121,"Banana, raw",1272,22:6 n-3 (DHA),621,G,0.0
122,"Banana, raw",1275,16:1,626,G,0.01
123,"Banana, raw",1276,18:4,627,G,0.0
124,"Banana, raw",1277,20:1,628,G,0.0
125,"Banana, raw",1278,20:5 n-3 (EPA),629,G,0.0
126,"Banana, raw",1279,22:1,630,G,0.0
127,"Banana, raw",1280,22:5 n-3 (DPA),631,G,0.0
128,"Banana, raw",1292,"Fatty acids, total monounsaturated",645,G,0.032
129,"Banana, raw",1293,"Fatty acids, total polyunsaturated",646,G,0.073
130,"Blueberries, raw",1003,Protein,203,G,0.74
131,"Blueberries, raw",1004,Total lipid (fat),204,G,0.33
132,"Blueberries, raw",1005,"Carbohydrate, by difference",205,G,14.49
133,"Blueberries, raw",1008,Energy,208,KCAL,57.0
134,"Blueberries, raw",1018,"Alcohol, ethyl",221,G,0.0
135,"Blueberries, raw",1051,Water,255,G,84.21
136,"Blueberries, raw",1057,Caffeine,262,MG,0.0
137,"Blueberries, raw",1058,Theobromine,263,MG,0.0
138,"Blueberries, raw",2000,"Sugars, total including NLEA",269,G,9.96
139,"Blueberries, raw",1079,"Fiber, total dietary",291,G,2.4
140,"Blueberries, raw",1087,"Calcium, Ca",301,MG,6.0
141,"Blueberries, raw",1089,"Iron, Fe",303,MG,0.28
142,"Blueberries, raw",1090,"Magnesium, Mg",304,MG,6.0
143,"Blueberries, raw",1091,"Phosphorus, P",305,MG,12.0
144,"Blueberries, raw",1092,"Potassium, K",306,MG,77.0
145,"Blueberries, raw",1093,"Sodium, Na",307,MG,1.0
146,"Blueberries, raw",1095,"Zinc, Zn",309,MG,0.16
147,"Blueberries, raw",1098,"Copper, Cu",312,MG,0.057
148,"Blueberries, raw",1103,"Selenium, Se",317,UG,0.1
149,"Blueberries, raw",1105,Retinol,319,UG,0.0
150,"Blueberries, raw",1106,"Vitamin A, RAE",320,UG,3.0
151,"Blueberries, raw",1107,"Carotene, beta",321,UG,32.0
152,"Blueberries, raw",1108,"Carotene, alpha",322,UG,0.0
153,"Blueberries, raw",1109,Vitamin E (alpha-tocopherol),323,MG,0.57
154,"Blueberries, raw",1114,Vitamin D (D2 + D3),328,UG,0.0
155,"Blueberries, raw",1120,"Cryptoxanthin, beta",334,UG,0.0
156,"Blueberries, raw",1122,Lycopene,337,UG,0.0
157,"Blueberries, raw",1123,Lutein + zeaxanthin,338,UG,80.0
158,"Blueberries, raw",1162,"Vitamin C, total ascorbic acid",401,MG,9.7
159,"Blueberries, raw",1165,Thiamin,404,MG,0.037
160,"Blueberries, raw",1166,Riboflavin,405,MG,0.041
161,"Blueberries, raw",1167,Niacin,406,MG,0.418
162,"Blueberries, raw",1175,Vitamin B-6,415,MG,0.052
163,"Blueberries, raw",1177,"Folate, total",417,UG,6.0
164,"Blueberries, raw",1178,Vitamin B-12,418,UG,0.0
165,"Blueberries, raw",1180,"Choline, total",421,MG,6.0
166,"Blueberries, raw",1185,Vitamin K (phylloquinone),430,UG,19.3
167,"Blueberries, raw",1186,Folic acid,431,UG,0.0
168,"Blueberries, raw",1187,"Folate, food",432,UG,6.0
169,"Blueberries, raw",1190,"Folate, DFE",435,UG,6.0
170,"Blueberries, raw",1242,"Vitamin E, added",573,MG,0.0
171,"Blueberries, raw",1246,"Vitamin B-12, added",578,UG,0.0
172,"Blueberries, raw",1253,Cholesterol,601,MG,0.0
173,"Blueberries, raw",1258,"Fatty acids, total saturated",606,G,0.028
