Additional Descriptions,All Highlight Fields,Common Names,Data Type,Description,Document Index (generated),Fdc Id,Food Code,foods Index (generated),Ndb Number,Published Date,Scientific Name,Number of Records per result.json,Score
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),Grapefruit,1,786546,61101010,1,,2020-04-01,,1,325.8743
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),Strawberry,1,786790,63223020,2,,2020-04-01,,1,325.17438
,,garlic pear,SR Legacy,Abiyuch,1,167782,,3,9427,2019-04-01,Crateva religiosa,1,314.3931
,,,Survey (FNDDS),Apple,1,786631,63101000,4,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Apricot,1,786644,63103010,5,,2020-04-01,,1,314.3931
,,,SR Legacy,Apricots,1,171697,,6,9021,2019-04-01,Prunus armeniaca,1,314.3931
,,,SR Legacy,Arrowhead,1,169203,,7,11005,2019-04-01,Sagittaria latifolia,1,314.3931
,,,SR Legacy,Arrowroot,1,168490,,8,11697,2019-04-01,Maranta arundinacea,1,314.3931
,,,SR Legacy,Arugula,1,169387,,9,11959,2019-04-01,Eruca sativa,1,314.3931
,,,SR Legacy,Asparagus,1,168389,,10,11011,2019-04-01,Asparagus officinalis,1,314.3931
,,,Survey (FNDDS),Asparagus,1,787774,75100800,11,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Avocado,1,786651,63105010,12,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Banana,1,786652,63107010,13,,2020-04-01,,1,314.3931
,,,SR Legacy,Bananas,1,173944,,14,9040,2019-04-01,Musa acuminata Colla,1,314.3931
,,,Survey (FNDDS),Basil,1,787787,75109400,15,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Beets,1,787777,75102500,16,,2020-04-01,,1,314.3931
,,,SR Legacy,Beets,1,169145,,17,11080,2019-04-01,Beta vulgaris,1,314.3931
,,,SR Legacy,Blackberries,1,173946,,18,9042,2019-04-01,Rubus spp.,1,314.3931
,,,Survey (FNDDS),Blackberries,1,786757,63201010,19,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Blueberries,1,786762,63203010,20,,2020-04-01,,1,314.3931
,,,SR Legacy,Blueberries,1,171711,,21,9050,2019-04-01,Vaccinium spp.,1,314.3931
,,,SR Legacy,Borage,1,170481,,22,11613,2019-04-01,Borago officinalis,1,314.3931
,,,Survey (FNDDS),Boysenberries,1,786771,63205010,23,,2020-04-01,,1,314.3931
,,,SR Legacy,Breadfruit,1,171714,,24,9059,2019-04-01,Artocarpus altilis,1,314.3931
,,,Survey (FNDDS),Broccoflower,1,787778,75102600,25,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Broccoli,1,787465,72201100,26,,2020-04-01,,1,314.3931
,,,Foundation,Broccoli,1,747447,,27,11090,2019-12-16,Brassica oleracea var. italica,1,314.3931
,,,SR Legacy,Broccoli,1,170379,,28,11090,2019-04-01,Brassica oleracea var. italica,1,314.3931
,,,SR Legacy,Cabbage,1,169975,,29,11109,2019-04-01,Brassica oleracea (Capitata Group),1,314.3931
,,,Survey (FNDDS),Cactus,1,787783,75105500,30,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Calamondin,1,786545,61100500,31,,2020-04-01,,1,314.3931
"melon, NFS; muskmelon",,,Survey (FNDDS),Cantaloupe,1,786661,63109010,32,,2020-04-01,,1,314.3931
,,,SR Legacy,Cardoon,1,169981,,33,11122,2019-04-01,Cynara cardunculus,1,314.3931
,,,SR Legacy,Carrots,1,170393,,34,11124,2019-04-01,Daucus carota,1,314.3931
,,,Survey (FNDDS),Carrots,1,787522,73101010,35,,2020-04-01,,1,314.3931
,,,SR Legacy,Cassava,1,169985,,36,11134,2019-04-01,Manihot esculenta,1,314.3931
,,,Survey (FNDDS),Cauliflower,1,787784,75107000,37,,2020-04-01,,1,314.3931
,,,SR Legacy,Cauliflower,1,169986,,38,11135,2019-04-01,Brassica oleracea (Botrytis Group),1,314.3931
,,,SR Legacy,Celeriac,1,170400,,39,11141,2019-04-01,Apium graveolens,1,314.3931
"celery, NFS",,,Survey (FNDDS),Celery,1,787785,75109000,40,,2020-04-01,,1,314.3931
,,,SR Legacy,Celery,1,169988,,41,11143,2019-04-01,Apium graveolens,1,314.3931
,,,SR Legacy,Celtuce,1,169990,,42,11145,2019-04-01,Lactuca sativa,1,314.3931
,,,Survey (FNDDS),Chard,1,787213,72104100,43,,2020-04-01,,1,314.3931
,,,SR Legacy,Cherimoya,1,173953,,44,9062,2019-04-01,Annona cherimola,1,314.3931
,,,SR Legacy,Chives,1,169994,,45,11156,2019-04-01,Allium schoenoprasum,1,314.3931
"chives, NFS",,,Survey (FNDDS),Chives,1,787788,75109500,46,,2020-04-01,,1,314.3931
coriander leaves; Chinese parsley,,,Survey (FNDDS),Cilantro,1,787789,75109550,47,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Clams,1,782757,26303100,48,,2020-04-01,,1,314.3931
,,,SR Legacy,Clementines,1,168195,,49,9433,2019-04-01,Citrus clementina hort. ex Tanaka,1,314.3931
collard greens,,,Survey (FNDDS),Collards,1,787220,72107100,50,,2020-04-01,,1,314.3931
,,,Survey (FNDDS),Fig,1,786679,63119010,51,,2020-04-01,,1,454.19293
