Nutrient,Apple,Banana,Lemon,Orange,Date,Grapes,Cantaloupe,Honeydew,Watermelon,Pear,Pineapple,Strawberries,Tomatoes
Energy (kcal),52,89,29,47,282,69,34,36,30,57,50,32,18
Protein (g),0.26,1.09,1.1,0.94,2.45,0.72,0.82,0.54,0.61,0.36,0.54,0.67,0.88
Carbohydrate (g),13.81,22.84,9.32,11.75,75.03,18.1,8.16,9.09,7.55,15.23,13.12,7.68,3.89
Sugars(g),10.39,12.23,2.5,9.35,63.35,15.48,7.88,8.12,6.2,9.75,9.85,4.89,2.63
"Fiber, total dietary (g)",2.4,2.6,2.8,2.4,8,0.9,0.8,0.8,0.4,3.1,1.4,2,1.2
Total Fat (g),0.17,0.33,0.3,0.12,0.39,0.16,0.18,0.14,0.15,0.14,0.12,0.3,0.2
Saturated_fat,0.028,0.112,0.039,0.015,0.032,0.054,0.051,0.038,0.016,0.022,0.009,0.015,0.028
Cholesterol (mg),0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin C (mg),4.6,8.7,53,53.2,0.4,3.2,10.9,18,8.1,4.3,47.8,58.8,13.7
Vitamin_D (mcg),0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin_E (mg),0.18,0.1,0.15,0.18,0.05,0.19,0.05,0.02,0.05,0.12,0.02,0.29,0.54
Calcium (mg),6,5,26,40,39,10,9,6,7,9,13,16,10
Magnesium (mg),5,27,8,10,43,7,13,10,10,7,12,13,11
Iron (mg),0.12,0.26,0.6,0.1,1.02,0.36,0.38,0.17,0.24,0.18,0.29,0.41,0.27
Potassium (mg),107,358,138,181,656,191,157,228,112,116,109,153,237
Sodium (mg),1,1,2,0,2,2,30,18,1,1,1,1,5
